App Name,Country,Category,Sensor Tower Link,Release Date,Last 30D Downloads WW,Last 30D Revenue WW,Ads Network,How They Get Their Money,Keyword 1,KW1 Advanced Search Link,KW1 Results,Keyword 2,KW2 Advanced Search Link,KW2 Results,Keyword 3,KW3 Advanced Search Link,KW3 Results,Market Verdict,App Description,Why I could work
Infinity Coloring Book: Infini,US,Lifestyle,https://app.sensortower.com/overview/6752579720?country=US,2026-01-14,"34,000","$37,100",Inactive,ORGANIC / ASO. App name contains highly searchable keywords. Inactive ads. Healthy $0.71 RPD. Subtitle packed with keywords. Estonian publisher.,coloring book app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=coloring+book+app,"152 pages ~3,800 results — massively crowded. Adult Coloring Book by Pixite 197K DLs/$438K rev.",color therapy paint,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=color+therapy+paint,1 page ~25 results — narrow keyword. Same top competitors (Pixite #1).,adult coloring book,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=adult+coloring+book,"62 pages ~1,550 results — very crowded. Color Pop AI 1M+ DLs/$1.39M rev dominates. Pixite $438K. Tap Color Pro $107K.","🔴  RED — Very crowded coloring book market (3,800+ results). Dominated by massive incumbents ($1M+/mo). Infinite zoom feature interesting but doesn't create new market.","Coloring book app for adults with relaxing pictures and an ""infinity zoom"" trick.","3,800+ coloring apps already exist. Top apps make over $1M/mo. Tough to compete."
Dot: Digital Business Card,US,Business        ,https://app.sensortower.com/overview/6747437276?country=US ,2026-02-25,"11,000","$18,100",N/A,"ORGANIC. ""Digital Business Card"" in name = searchable keyword. No visible ad network. NFC physical card sales drive app installs. $1.43 RPD. US-only organic. Dot Cards is hardware+software — physical NFC cards paired with companion app.        ",digital business card      ,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=digital+business+card ,"108 pages ~2,700 results — Blinq $407K/mo dominates. HiHello $48.6K/mo. HeyDrop $29.9K/mo. Most results are QR/scanner apps mentioning ""business card"" in description.        ",nfc business card        ,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=nfc+business+card ,3 pages ~75 results — all dead apps with 0 downloads. NFC-specific niche completely empty.        ,contact sharing app       ,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=contact+sharing+app        ,2 pages ~50 results — all dead apps. Contact sharing angle barely exists.,"⚠️ YELLOW — Broader ""digital business card"" market has incumbents (Blinq $407K/mo, HiHello $48.6K/mo) but NFC-specific angle completely uncrowded (75 results, all dead). $18.1K/mo with $1.43 RPD proves willingness to pay. Requires physical NFC card business to replicate Dot's full model.",A digital business card on your phone you can share with one tap (paired with a physical NFC card).,"Real business need, but you have to also sell the actual NFC card to make it work."
Funovel - Reading Good Books,US,Books,https://app.sensortower.com/overview/6755107081?country=US,2025-12-28,"13,000","$69,500",New,ORGANIC/ASO + NEW PAID. Keyword-rich subtitle. Chinese publisher. $5.12 RPD.,romance novels,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=romance+novels,58p ~1450 results - GoodNovel $8.7M Buenovela $885K,web novel reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=web+novel+reader,1p ~10 results - MoboReader $555K,novel reading,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=novel+reading,48p ~1200 results - Pocket FM $8.8M TapRead $288K,🔴 RED - Romance/web novel extremely crowded 1450+ results. GoodNovel $8.7M Pocket FM $8.8M.,Reads spicy romance and werewolf-romance ebooks with daily new chapters.,"Romance ebooks are HUGE, but giants like GoodNovel ($8.7M/mo) own the market."
RedChapters,US,Books,https://app.sensortower.com/overview/6763258930?country=US,2026-05-01,"4,000","$11,700",New,MIXED. Werewolf Romance subtitle. UAE publisher. $2.86 RPD.,werewolf romance,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=werewolf+romance,6p ~150 results - GoodNovel $8.7M AnyStories $1.47M,romance novels,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=romance+novels,58p ~1450 results - GoodNovel $8.7M,web novel reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=web+novel+reader,1p ~10 results - MoboReader $555K,🔴 RED - Romance/web novel extremely crowded. Werewolf sub-niche 150+ results.,Same as Funovel — werewolf romance ebook reader app.,"Werewolf romance is hot, but the small fish here is making only $11K/mo against giants."
CrushNovels,US,Books,https://app.sensortower.com/overview/6759941820?country=US,2026-02-24,"4,000","$9,000",Inactive,ORGANIC/ASO. Vietnamese publisher. $1.58 RPD.,romance novels,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=romance+novels,58p ~1450 results - GoodNovel $8.7M,novel reading,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=novel+reading,48p ~1200 results - Pocket FM $8.8M,web novel reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=web+novel+reader,1p ~10 results - MoboReader $555K,🔴 RED - Romance/web novel extremely crowded. $9K/mo in sea of $1M+ incumbents.,Free romance novels with new chapters every day.,Bigger romance apps make millions. This one is too small to compete.
Staread,US,Books,https://app.sensortower.com/overview/6758330296?country=US,2026-03-23,"7,000","$17,200",N/A,Likely ORGANIC/ASO. Both iOS+Android. $2.15 RPD.,novel reading,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=novel+reading,48p ~1200 results - Pocket FM $8.8M,romance novels,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=romance+novels,58p ~1450 results - GoodNovel $8.7M,web novel reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=web+novel+reader,1p ~10 results - MoboReader $555K,🔴 RED - Romance/web novel extremely crowded. $17.2K/mo tiny vs $8.7M incumbents.,"Reads short web novels and stories on your phone, like TikTok for books.",Same crowded romance/web-novel space dominated by huge incumbents.
JoyNovel - Stories and Novels,US,Books,https://app.sensortower.com/overview/6756647273?country=US,2026-02-25,"1,000","$1,000",N/A,ORGANIC. Hinovel group publisher. $0.87 RPD.,novel reading,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=novel+reading,48p ~1200 results - Pocket FM $8.8M,romance novels,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=romance+novels,58p ~1450 results - GoodNovel $8.7M,web novel reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=web+novel+reader,1p ~10 results - MoboReader $555K,🔴 RED - Romance/web novel crowded. $1K/mo from major publisher = market rejection.,Another free romance ebooks reader app.,"Even backed by a big publisher, only $1K/mo. Market is just too packed."
Fanworks: AO3 Unofficial,US,Books,https://app.sensortower.com/overview/6761056313?country=US,2026-03-27,"6,000","$2,000",N/A,ORGANIC. AO3 = search keyword. $0.09 RPD.,fanfiction reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=fanfiction+reader,2p ~50 results - FanFiction|AO3 22K/$1.6K,ao3 reader,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ao3+reader,1p ~10 results - AO3 FanFic Reader 34K/$2.4K,novel reading,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=novel+reading,48p ~1200 results - broader market,⚠️ YELLOW - Fanfiction/AO3 niche small ~60 results but dedicated. Low RPD $0.09.,Lets you read AO3 fanfiction (Archive of Our Own stories) right on your phone.,"Fanfiction fans are loyal, but they don't like paying. Low money even though niche is loved."
"IQ Boost: Brain Trainer, Games",US,Education,https://app.sensortower.com/overview/6755378185?country=US,2026-01-09,"43,000","$108,800",Active,MIXED. Active ads + keyword-rich ASO name targeting brain training searches. $2.02 RPD decent monetization alongside paid UA.,brain training games,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=brain+training+games,"71 pages ~1,775 results — Impulse $1.49M, Elevate $1.11M, IQ Masters $707K",iq test brain games,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=iq+test+brain+games,1 page — only IQ Boost active. Too narrow.,brain puzzle games,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=brain+puzzle+games,"23 pages ~575 results — Brain Puzzle 4.28M DL, Sudoku 1.45M DL","🔴 RED — Brain training extremely crowded. 71p KW1, 23p KW3. Dominated by $1M+/mo incumbents (Impulse, Elevate, Lumosity).",Brain training puzzles with an IQ-test theme to make you smarter.,Brain training is crowded. Lumosity and Elevate ($1M+ each) own this space.
Coursiv - AI Certificates,US,Education,https://app.sensortower.com/overview/6758934906?country=US,2026-03-04,"72,000","$64,700",New,MIXED. Brand name not searchable but description targets AI certificate keywords. 72K DLs with New ads suggests some paid element. $0.74 RPD low for education.,certificate courses,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=certificate+courses,8 pages ~200 results — Alison 232K DL/$93K dominates. Simplilearn 50K DL.,ai courses,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ai+courses,3 pages ~75 results — DataCamp 32K/$55.9K leads. AI CERTs 27.6K/$0. Niche focused.,online learning app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=online+learning+app,"43 pages ~1,075 results — Alison 232K/$93K, Oda Class 112K. Broad market massive but AI cert angle differentiates.",⚠️ YELLOW — Narrow ai courses niche (~75 results) has room. $64.7K/mo validates demand. DataCamp only major competitor.,Online courses where you earn an AI certificate to put on LinkedIn.,People want AI skills to get jobs. Only DataCamp is a real competitor.
Dilemmo: Make Better Decisions,US,Education,https://app.sensortower.com/overview/6758148536?country=US,2026-02-08,"46,000","$4,000",New,PAID UA. Brand name not searchable. $0.07 RPD extremely low — buying cheap installs that don't convert. 46K DLs/$4K rev = purchased traffic.,personality test,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=personality+test,"75 pages ~1,875 results — Duet Dating $493.6K, Clever $302K, HalaMe $81.8K. Extremely crowded.",would you rather game,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=would+you+rather+game,6 pages ~150 results — Rather Dirty $2.3K. Nobody making real money.,decision making app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=decision+making+app,10 pages ~250 results — dead category. All apps near 0 DL and $0 revenue.,"🔴 RED — personality test massively crowded (1,875 results, $493K incumbents). Narrower niches no revenue. $0.07 RPD terrible.",Helps you stop overthinking by giving you a quick yes/no on hard choices.,"Cute idea, but the personality-test market is packed. Buying installs that don't pay back."
Runout Poker Trainer GTO Coach,US,Education,https://app.sensortower.com/overview/6760210288?country=US,2026-03-23,"24,000","$57,900",New,"ORGANIC. App name packed with search keywords (poker trainer, GTO, coach). New ads = just starting paid. $2.35 RPD quality organic users. US/UK/Canada spread.",poker trainer,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=poker+trainer,7 pages ~175 results — Runout leads 23.4K/$54.9K. Many tangential Video Poker games. Training niche smaller.,gto poker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=gto+poker,"2 pages ~50 results — Very niche. Runout dominates. NTPoker 1.9K/$9.4K, GTO Preflop 1.4K/$848.",texas holdem strategy,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=texas+holdem+strategy,2 pages ~50 results — Mostly poker games. Runout highest-revenue dedicated training app at $54.9K.,🟢 GREEN — Poker TRAINING niche genuinely small (<20 dedicated apps). No $1M+/mo incumbent. Runout leader at $57.9K/mo in <2 months. $2.35 RPD validates.,"Teaches you poker like a coach would, with GTO strategy lessons.",Poker training online is a real but quiet niche. No giant owns it. Room to grow.
Moshi: SSH & MOSH Terminal,US,Developer Tools,https://app.sensortower.com/overview/6757859949?country=US,2026-01-21,"11,000","$43,100",Active,"MIXED. Subtitle 'for Claude Code, Codex & more' = keyword-stuffed for AI coding tools. Ads Network Active. Publisher from Japan. 573 ratings + high RPD ($1.80) = strong organic conversion boosted by paid UA.",ssh terminal,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ssh+terminal,"9 pages ~225 results — Very crowded legacy market. Textastic (27.9K DLs, $41K), xTerminal (17.6K, $7.5K), ServerCat (6K, $7.2K), Shelly (5.6K, $4.2K).",mosh ssh client,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=mosh+ssh+client,"1 page 1 result — La Terminal: Mosh & SSH (2.5K DLs, $1.7K). Very niche MOSH protocol space.",terminal for claude code,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=terminal+for+claude+code,"1 page 1 result — Arcway: Remote Agents (0 DLs, $0). Emerging niche with no established players.","⚠️ YELLOW — SSH terminal market extremely crowded (225+ apps) but Moshi differentiates by targeting AI coding agents (Claude Code, Codex, Cursor). That's a genuinely different use case. $43K rev with active ads validates demand in this new sub-niche.","A terminal app for iPad that lets coders use Claude Code, Codex, and Cursor remotely.",AI coding agents are blowing up. Most SSH apps are old — Moshi targets a fresh audience.
Pydroid 3,US,Developer Tools,https://app.sensortower.com/overview/6758005480?country=US,2026-01-27,"20,000","$2,000",Inactive,ORGANIC. Name 'Pydroid 3' leverages famous Android brand. Subtitle 'Pythonista Compiler Coding App' keyword-stuffed. No ads. RPD $0.06 = terrible monetization. Publisher 'TERMUX LIMITED LIABILITY COMPANY' appears to clone the Pydroid brand.,python code editor,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=python+code+editor,"1 page ~15 results — Python Coding (77K DLs, $8.9K) dominates. Python3ide (6.5K, $2.2K). Pydroid 3 itself at 19.7K DLs.",python compiler,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=python+compiler,"4 pages ~100 results — Python3ide (6.5K, $2.2K), Python Coding IDE (3.4K), Learn Python (3.6K, $760). Many dead apps.",python programming app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=python+programming+app,2 pages ~50 results — Mostly dead apps with 0 downloads. Only Learn Python Coding (1.7K DLs) has any traction.,"🔴 RED — Python mobile IDE market mature, dominated by Python Coding (77K DLs). Pydroid 3 has very low monetization ($2K/mo, RPD $0.06). Publisher appears to clone the Android Pydroid brand. Not a viable opportunity.",Lets you write and run Python code right on your iPhone or iPad.,Mobile Python coding is mature — bigger apps already own it. Almost no revenue.
VibeShort: AI Comic Dramas,US,Entertainment,https://app.sensortower.com/overview/6758667154?country=US,2026-02-07,"3,000,000","$2,700,000",New,MIXED. Brand name not searchable but 'AI Comic Dramas' subtitle targets differentiating niche. New ads = just starting paid. $2.7M/mo in 3 months suggests strong organic/viral growth. $0.87 RPD solid.,ai comic dramas,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ai+comic+dramas,"1 page, 3 results. VibeShort dominates at $2.5M. MoboDrama 26 DLs/$2.7K. EpNova 0 DLs/$0.",short drama app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=short+drama+app,"5 pages ~125 results. Story TV 11M DLs/$73.6K, PineDrama (ByteDance) 17.9M DLs/$0, RaptDrama $318K.",watch short dramas,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=watch+short+dramas,"4 pages ~100 results. StardustTV $2.8M, Playlet $1.18M, HotMiniDrama 11M DLs/$0.","🔴 RED — AI comic niche seems uncrowded (3 results) but fake niche — same short drama users. Broader market 100-125+ apps with $1M+/mo incumbents (StardustTV $2.8M, Playlet $1.18M). Not indie-clonable.","Watches short, AI-made comic-book-style drama videos like TikTok stories.","Short drama is a $2M+/mo space, but giants like StardustTV and Playlet dominate it."
Maya Mobile: Travel eSIM,US,Travel,https://app.sensortower.com/overview/6760292613?country=US,2026-03-23,"10,000",$0,Active,PAID UA in saturated travel eSIM space. Free app no IAP visible — likely revenue from data plan purchases off-app. 10K DL / $0 in-app rev = chasing brand recognition vs Saily/Ubigi/Nomad.,travel esim,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=travel+esim,"14 pages ~350 results — Saily 653K DL, Ubigi 196K, Maslek 152K, Nomad-style giants",international esim,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=international+esim,"4 pages ~100 results — Saily 653K, Nomad 266K, Hoi 225K, MobiMatter 149K",esim data plan,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=esim+data+plan,"4 pages ~100 results — Numero $215K/mo rev, Second Phone $90K/mo, Saily 653K DL","🔴 RED — Saturated travel eSIM space. 350+ competitors. NordVPN-backed Saily, Ubigi, Nomad, Maslek dominate. Burning UA against giants.",A travel eSIM app so your phone gets data when you travel abroad.,"Saily, Ubigi, and Nomad already crush this market. 350+ competing apps."
FlightDeck - Flight Tracker,US,Travel,https://app.sensortower.com/overview/6759628645?country=US,2026-03-01,"4,000","$17,100",Active,PAID UA. Free + Subscription. $4.38 RPD. Active ads. Same RED verdict as Sky Radar (existing DB) — flight tracker space dominated by Flightradar24/Flighty incumbents. Buying chart position.,live flight tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+flight+tracker,"8 pages ~200 results — Flightradar24 1.7M DL/$2.5M, Flighty $1.2M, Planes Live $342K, FlightSky $82K",flight tracker app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=flight+tracker+app,"6 pages ~150 results — Flightradar24 $2.5M, Planes Live $342K, Flight Tracker+ $265K, AirNav $30K",flight radar live,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=flight+radar+live,"1 page 25 results — Plane Finder $130K, Flight Tracker+ $265K","🔴 RED — Flight tracker dominated by Flightradar24 ($2.5M/mo), Flighty ($1.2M/mo). 200+ apps. Same verdict as Sky Radar in existing DB.",Tracks airplanes flying live on a map.,Flightradar24 and Flighty already dominate at over $1M/mo each.
Plotline: Travel Map & Planner,US,Travel,https://app.sensortower.com/overview/6759443026?country=US,2026-03-17,"8,000","$2,000",Active,PAID UA + low conversion. $0.27 RPD = users not converting. Subscription model. Active ads in saturated travel planner space dominated by Wanderlog/TripIt + AI assistants cannibalizing manual planning.,travel planner app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=travel+planner+app,"5 pages ~125 results — Wanderlog 349K DL/$567K, TripIt 78K DL/$187K, SmartGuide $17K",trip planner map,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=trip+planner+map,"2 pages ~50 results — mostly dead. Tripomatic $9K, TripShot 14K DL/$0",travel itinerary,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=travel+itinerary,66 pages ~1650 results — ChatGPT/TripIt/Hostelworld/Priceline. AI-cannibalized space,"🔴 RED — Travel planning saturated. Wanderlog ($567K/mo), TripIt ($187K/mo) dominate. AI assistants eat manual planning. $0.27 RPD on Active UA = burning money.",A pretty trip planner with maps for vacations.,"Wanderlog and TripIt already own this. Plus, ChatGPT now plans trips for free."
Rugiet: Men's health,US,Medical,https://app.sensortower.com/overview/6760044352?country=US,2026-04-21,"9,000",$0,Inactive (not extracted),OFF-APP MONETIZATION. Brand telehealth like Hims/Roman/Keeps. $0 in-app rev = revenue from prescription sales off-app. Requires medical licensing + business backing — not clonable as standalone app.,telehealth,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=telehealth,"126 pages ~3150 results — Hims 100K DL, Teladoc 168K, GoodRx 282K, LifeMD 50K, healow 381K, Zocdoc 125K",(KW2 skipped — verdict overwhelmingly clear),,,(KW3 skipped — verdict overwhelmingly clear),,,🔴 RED — Telehealth saturated. Brand Rx model unclonable without medical infra. Same playbook as Hims/Roman.,A men's health telehealth app for things like ED meds — same idea as Hims.,Selling actual prescriptions takes a real medical company. Not something one person can clone.
Wisp: Online Healthcare,US,Medical,https://app.sensortower.com/overview/6755340669?country=US,2026-04-06,"4,000",$0,Inactive (not extracted),OFF-APP MONETIZATION. UTI/STD telehealth brand. $0 in-app rev = revenue from prescription sales off-app. Same brand-Rx pattern as Hims/Roman/Rugiet. Requires medical licensing.,telehealth,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=telehealth,126 pages ~3150 results — same as Rugiet KW1. Hims/Teladoc/GoodRx/LifeMD/healow dominate,(skipped — same brand-telehealth pattern as Rugiet),,,(skipped — verdict clear),,,🔴 RED — Brand-Rx telehealth model unclonable without medical infra. Same playbook as Hims/Roman.,"Telehealth for UTI/STD medicine, like Hims for women.",Same problem as Rugiet — you need pharmacy partners and licensing.
Dutch Pet - Online vet 24/7,US,Medical,https://app.sensortower.com/overview/6745529739?country=US,2026-03-10,"4,000",$0,(not extracted),OFF-APP MONETIZATION. Brand telehealth-for-pets (Dutch). $0 in-app rev = revenue from vet visits/Rx off-app. Pet equivalent of Hims model.,online vet,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=online+vet,"9 pages ~225 results — Vetster 4.7K, Supertails 63K, TrustedHousesitters 37K. ALL near-$0 in-app rev (off-app vet visit monetization). PetWiseCare $4.4K only outlier",(skipped — same off-app pattern as Wisp/Rugiet),,,(skipped — verdict clear),,,🔴 RED — Brand telehealth-for-pets. Off-app vet visit monetization. Requires veterinary infra — not clonable.,Vet visits and prescriptions for your dog or cat over the phone.,Need real vets and supply chain. Not a clone-able indie app.
Anna : Sign Language (LSF),US,Education,https://app.sensortower.com/overview/6758141347?country=US,2026-02-12,"63,000","$5,000",(not extracted),ORGANIC/ASO. Solo dev. French Sign Language (LSF) niche. 63K DLs from France/US/Canada. $0.09 RPD = poor monetization needs work but proves market.,sign language learning,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=sign+language+learning,3 pages ~75 results — Lingvano dominates 128K DL/$576K/mo broader market,french sign language,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=french+sign+language,1 page ~20 results — ALL dead w/ 0 DL/$0 rev. Anna essentially only active FSL app,langue des signes,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=langue+des+signes,6 pages ~150 results — Pause LSF $10.7K leads. Anna #2 at $5K. LSF niche has 2-3 real players,⚠️ YELLOW — French Sign Language geographic niche genuinely uncrowded. Pause LSF + Anna are only real players. Broader sign language space dominated by Lingvano ($576K/mo) but LSF angle differentiated. Geographic moat. Poor RPD = monetization upside.,Teaches French Sign Language (LSF) lessons step by step.,French Sign Language has barely any apps. Tiny but loyal audience.
Lingua - AI Learn English,US,Education,https://app.sensortower.com/overview/6762179191?country=US,2026-04-16,"18,000",$0,New,PAID UA starting (New ads). Vietnamese pub targeting India/Pakistan. $0 in-app rev = burning UA in saturated AI English space.,learn english ai,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=learn+english+ai,1 page ~14 results — SPEAKEY $5.6K leads narrow keyword,english speaking practice,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=english+speaking+practice,"23 pages ~575 results — Stimuler AI 997K DL/$285K/mo, Speak $3.5M, ELSA $735K. Saturated",(skipped),,,"🔴 RED — AI English learning saturated. Stimuler $285K/mo, Speak $3.5M dominate. Lingua $0 rev = no path to compete.",Teaches you English with AI conversations.,English-learning is the most crowded space ever. Duolingo and Speak crush everything.
